uid,frame,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z
user_627984,0,0.9920421992994113,-0.02100807890739384,0.12169373390813679,-0.02452693534266799
user_627984,30,0.9926816506465292,0.06232094428538648,0.07878587023207047,-0.06702258593067675
user_627984,60,0.9944480287606601,0.07268924481487016,-0.017358131572776547,-0.07408162424369022
user_627984,90,0.9961442700094504,-0.008095737843296955,-0.08006730864311501,-0.03493248406225981
user_627984,120,0.9936534389283818,-0.10317526683343607,-0.042755965845069514,0.013402798375909387
user_627984,150,0.9912418788483375,-0.11838949935495682,0.053835422794062913,0.022917489222972418
user_627984,180,0.9917767748104627,-0.04827979583000029,0.11801687266751083,-0.0109502523692869
user_627984,210,0.9924916391063564,0.043468285522371045,0.09898466901429669,-0.05720917546909589
user_627984,240,0.9937567498667004,0.07988595640498035,0.010850877359540755,-0.07712337210056402
user_627984,270,0.9960131081185,0.021155097704891077,-0.07121327972765318,-0.04938642614780428
user_718093,0,0.997326401624921,0.00451234426912693,0.072762046632443,0.005037056773722266
user_718093,30,0.9947508684014905,0.09103813667133683,0.027079292737049204,-0.03807202898129806
user_718093,60,0.9909565395288844,0.10270240557651915,-0.07457206542663651,-0.04354721244511874
user_718093,90,0.9898532495401634,0.020639024254067804,-0.1405681559536227,-0.0022734520924793163
user_718093,120,0.9907110712260145,-0.07761370765677353,-0.10141884099148628,0.04671085982847212
user_718093,150,0.9939454720862668,-0.09507084099155302,0.0007278892991129667,0.055076346007478405
user_718093,180,0.9971612911522235,-0.023638277438187638,0.06888246245079702,0.019125836820917994
user_718093,210,0.9958647835670196,0.07138259422155556,0.04853856350993542,-0.02831723760549373
user_718093,240,0.9918196312281581,0.10980290495298549,-0.04482121630381649,-0.04720381068698409
user_718093,270,0.989913305606096,0.050493146780682424,-0.13124415836515768,-0.01723544044165219
user_584217,0,0.9892694718185596,0.0030341059588927994,0.1458956356853137,0.007153308104403771
user_584217,30,0.9899655377920638,0.09134001758757374,0.1013523350007994,-0.036782324030129473
user_584217,60,0.9936523282003794,0.10409070247086345,0.0011278931020765144,-0.04264861285244616
user_584217,90,0.9977039201656863,0.01963833508497155,-0.06481680555372898,-7.210355236593017e-05
user_584217,120,0.9950425730707284,-0.08180547271297976,-0.02557447378740896,0.05043896015469941
user_584217,150,0.9905130933383789,-0.09883202632688404,0.07551055944632706,0.058431138183854085
user_584217,180,0.9892855028442159,-0.02559989464850106,0.14211646814369575,0.021488339596494415
user_584217,210,0.9895739092115755,0.07116301693095554,0.12231614583359986,-0.026796710570859722
user_584217,240,0.9922533966538813,0.11112923347467901,0.030624925117924435,-0.04632066771633387
user_584217,270,0.9970594544926102,0.05053806971766037,-0.05546034710231441,-0.015572334937387942
user_261123,0,0.9896437402449223,0.034605327972162106,0.1334731121152119,0.03990823238705951
user_261123,30,0.9886532967916095,0.1201410171978259,0.0901571033231369,-0.0015784328096418363
user_261123,60,0.9909743002455109,0.13379000285697268,-0.006517371897277588,-0.005262627861041209
user_261123,90,0.9954050890817919,0.054155723343803586,-0.06987239552467368,0.03679286075888568
user_261123,120,0.9949332642366572,-0.043773803315205875,-0.03226166259512124,0.08456263350505493
user_261123,150,0.9917934352911388,-0.0622193101680433,0.0653647586340547,0.09056482476285187
user_261123,180,0.9900463249321096,0.007093437515594815,0.1298591314129237,0.05380114888473247
user_261123,210,0.9887568541268597,0.10047537420738405,0.11048236537495779,0.00763082801513864
user_261123,240,0.9898521762501602,0.14009581166448462,0.0218662407245607,-0.009364840813726684
user_261123,270,0.9944072666330156,0.08351528507504077,-0.06087162312548476,0.02177224665390203
user_818642,0,0.9973863608710861,-0.03683759278537779,0.060317568873823106,0.015007657754025596
user_818642,30,0.9982109194262043,0.05061380498569591,0.01354865708236389,-0.028803419491898467
user_818642,60,0.9934263704792938,0.060504620849827384,-0.0910654344376627,-0.033916425855847795
user_818642,90,0.9870517329182452,-0.02466822825800714,-0.15826194038879382,0.008573988691027554
