uid,frame,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
user_627984,0,0.46167102846286634,0.8713645923258846,-0.08997757727803371,0.5616710284628664,0.8313645923258846,0.1100224227219663
user_627984,30,0.5037445777032612,0.8575736615019287,-0.07314815758187578,0.5195974792224716,0.8451555231498404,0.09319300302580838
user_627984,60,0.5071358998041504,0.8288801872294703,-0.07179162874152008,0.5162061571215824,0.8738489974222988,0.09183647418545267
user_627984,90,0.4687270288658597,0.8116648174278712,-0.08715517711683636,0.5546150280598731,0.8910643672238979,0.10720002256076895
user_627984,120,0.42383090369746995,0.8217552836999762,-0.10511362718419227,0.5995111532282629,0.880973900951793,0.12515847262812485
user_627984,150,0.4137248147297094,0.8498744578897813,-0.10915606277129648,0.6096172421960233,0.8528547267619878,0.12920090821522906
user_627984,180,0.44770025355292004,0.8701697009253956,-0.09556588724201223,0.5756418033728127,0.8325594837263736,0.11561073268594482
user_627984,210,0.4945203583988058,0.8639816599561837,-0.07683784530365793,0.528821698526927,0.8387475246955854,0.09688269074759052
user_627984,240,0.5111389407940354,0.8369995913116262,-0.07019041234556607,0.5122031161316973,0.865729593340143,0.09023525778949866
user_627984,270,0.4822769527249542,0.8140306844693442,-0.08173520757319858,0.5410651042007786,0.8886985001824249,0.10178005301713117
user_718093,0,0.43487724032638253,0.8765816190428777,-0.09820568993960894,0.5348772403263825,0.8365816190428776,0.10179431006039107
user_718093,30,0.47695078956677733,0.8627906882189218,-0.08137627024345101,0.4928036910859877,0.8503725498668335,0.08496489036423314
user_718093,60,0.4803421116676666,0.8340972139464634,-0.08001974140309531,0.4894123689850985,0.8790660241392919,0.08360836152387743
user_718093,90,0.4419332407293759,0.8168818441448643,-0.0953832897784116,0.5278212399233891,0.896281393940891,0.09897190989919372
user_718093,120,0.39703711556098614,0.8269723104169693,-0.11334173984576751,0.572717365091779,0.886190927668786,0.11693035996654963
user_718093,150,0.3869310265932256,0.8550914846067744,-0.11738417543287172,0.5828234540595394,0.8580717534789809,0.12097279555365384
user_718093,180,0.4209064654164362,0.8753867276423887,-0.10379399990358747,0.5488480152363288,0.8377765104433667,0.10738262002436959
user_718093,210,0.467726570262322,0.8691986866731768,-0.08506595796523317,0.502027910390443,0.8439645514125785,0.08865457808601529
user_718093,240,0.4843451526575516,0.8422166180286192,-0.0784185250071413,0.48540932799521347,0.8709466200571361,0.08200714512792343
user_718093,270,0.4554831645884704,0.8192477111863373,-0.08996332023477381,0.5142713160642947,0.893915526899418,0.09355194035555593
user_584217,0,0.4334001700115725,0.8820029592391007,-0.11314376129280285,0.5334001700115726,0.8420029592391006,0.08685623870719716
user_584217,30,0.4754737192519673,0.8682120284151448,-0.09631434159664491,0.49132662077117767,0.8557938900630565,0.07002681901103924
user_584217,60,0.47886504135285657,0.8395185541426864,-0.09495781275628921,0.48793529867028845,0.8844873643355149,0.06867029017068353
user_584217,90,0.44045617041456586,0.8223031843410873,-0.1103213611316055,0.5263441696085792,0.901702734137114,0.08403383854599981
user_584217,120,0.3955600452461761,0.8323936506131923,-0.1282798111989614,0.571240294776969,0.891612267865009,0.10199228861335573
user_584217,150,0.38545395627841555,0.8605128248029974,-0.1323222467860656,0.5813463837447295,0.8634930936752039,0.10603472420045994
user_584217,180,0.4194293951016262,0.8808080678386117,-0.11873207125678137,0.5473709449215188,0.8431978506395896,0.09244454867117569
