uid,frame,left_toe_x,left_toe_y,left_toe_z,right_toe_x,right_toe_y,right_toe_z
user_627984,0,0.45167102846286633,0.9313645923258846,-0.0699775772780337,0.5716710284628664,0.8713645923258846,0.0900224227219663
user_627984,30,0.5021592875513402,0.9129766845606102,-0.05314815758187577,0.5211827693743927,0.889752500091159,0.07319300302580836
user_627984,60,0.5062288740724072,0.8747187188639989,-0.051791628741520074,0.5171131828533255,0.9280104657877704,0.07183647418545266
user_627984,90,0.46013822894645834,0.8517648924618668,-0.06715517711683636,0.5632038279792744,0.9509642921899024,0.08720002256076895
user_627984,120,0.40626287874439065,0.8652188474913401,-0.08511362718419227,0.6170791781813422,0.9375103371604291,0.10515847262812486
user_627984,150,0.394135571983078,0.9027110797444137,-0.08915606277129648,0.6292064849426547,0.9000181049073556,0.10920090821522907
user_627984,180,0.43490609857093077,0.9297714037918993,-0.07556588724201223,0.588435958354802,0.87295778085987,0.09561073268594482
user_627984,210,0.49109022438599365,0.9215206824996168,-0.05683784530365793,0.5322518325397391,0.8812085021521524,0.07688269074759052
user_627984,240,0.5110325232602693,0.8855445909735401,-0.050190412345566066,0.5123095336654635,0.9171845936782291,0.07023525778949866
user_627984,270,0.4763981375773717,0.8549193818504975,-0.06173520757319857,0.5469439193483611,0.9478098028012717,0.08178005301713116
user_718093,0,0.4248772403263825,0.9365816190428777,-0.07820568993960894,0.5448772403263825,0.8765816190428777,0.08179431006039106
user_718093,30,0.47536549941485634,0.9181937112776033,-0.061376270243451006,0.4943889812379088,0.8949695268081521,0.06496489036423313
user_718093,60,0.47943508593592343,0.879935745580992,-0.06001974140309531,0.49031939471684166,0.9332274925047634,0.06360836152387743
user_718093,90,0.43334444080997453,0.8569819191788599,-0.07538328977841159,0.5364100398427905,0.9561813189068955,0.07897190989919371
user_718093,120,0.37946909060790684,0.8704358742083332,-0.0933417398457675,0.5902853900448582,0.9427273638774222,0.09693035996654963
user_718093,150,0.3673417838465942,0.9079281064614068,-0.09738417543287171,0.6024126968061708,0.9052351316243487,0.10097279555365384
user_718093,180,0.40811231043444696,0.9349884305088924,-0.08379399990358746,0.5616421702183181,0.8781748075768631,0.08738262002436958
user_718093,210,0.46429643624950984,0.9267377092166099,-0.06506595796523316,0.5054580444032551,0.8864255288691455,0.06865457808601529
user_718093,240,0.4842387351237854,0.8907616176905332,-0.0584185250071413,0.48551574552897964,0.9224016203952222,0.06200714512792342
user_718093,270,0.4496043494408879,0.8601364085674906,-0.06996332023477381,0.5201501312118771,0.9530268295182648,0.07355194035555593
user_584217,0,0.4234001700115725,0.9420029592391007,-0.09314376129280284,0.5434001700115726,0.8820029592391007,0.06685623870719716
user_584217,30,0.4738884291000463,0.9236150514738263,-0.07631434159664491,0.4929119109230988,0.9003908670043751,0.05002681901103923
user_584217,60,0.4779580156211134,0.885357085777215,-0.07495781275628921,0.4888423244020316,0.9386488327009864,0.048670290170683535
user_584217,90,0.4318673704951645,0.8624032593750829,-0.0903213611316055,0.5349329695279805,0.9616026591031185,0.06403383854599981
user_584217,120,0.3779920202930968,0.8758572144045562,-0.1082798111989614,0.5888083197300483,0.9481487040736452,0.08199228861335572
user_584217,150,0.3658647135317842,0.9133494466576297,-0.11232224678606562,0.6009356264913609,0.9106564718205716,0.08603472420045993
user_584217,180,0.4066352401196369,0.9404097707051153,-0.09873207125678136,0.5601650999035082,0.883596147773086,0.07244454867117568
user_584217,210,0.4628193659346998,0.9321590494128329,-0.08000402931842707,0.5039809740884452,0.8918468690653685,0.05371650673282139
user_584217,240,0.48276166480897537,0.8961829578867562,-0.0733565963603352,0.4840386752141696,0.9278229605914452,0.047069073774729527
user_584217,270,0.44812727912607786,0.8655577487637136,-0.08490139158796771,0.5186730608970672,0.9584481697144878,0.05861386900236203
user_261123,0,0.4417797417981654,0.9570528440155563,-0.07720268142663267,0.5617797417981655,0.8970528440155563,0.08279731857336733
user_261123,30,0.49226800088663925,0.9386649362502819,-0.060373261730474734,0.5112914827096917,0.9154407517808307,0.0659678988772094
user_261123,60,0.49633758740770634,0.9004069705536706,-0.059016732890119036,0.5072218961886246,0.9536987174774421,0.0646113700368537
user_261123,90,0.45024694228175743,0.8774531441515385,-0.07438028126543532,0.5533125413145734,0.9766525438795741,0.07997491841216998
user_261123,120,0.39637159207968975,0.8909070991810119,-0.09233873133279123,0.6071878915166412,0.9631985888501008,0.0979333684795259
user_261123,150,0.3842442853183771,0.9283993314340854,-0.09638116691989544,0.6193151982779538,0.9257063565970273,0.10197580406663011
user_261123,180,0.42501481190622986,0.955459655481571,-0.08279099139061119,0.578544671690101,0.8986460325495417,0.08838562853734586
user_261123,210,0.48119893772129274,0.9472089341892885,-0.06406294945225689,0.5223605458750381,0.9068967538418241,0.06965758659899156
user_261123,240,0.5011412365955683,0.9112328426632118,-0.05741551649416503,0.5024182470007625,0.9428728453679008,0.0630101536408997
user_261123,270,0.4665068509126708,0.8806076335401692,-0.06896031172179753,0.5370526326836601,0.9734980544909434,0.0745549488685322
user_818642,0,0.4426883940257886,0.9540496549024915,-0.06581033401883073,0.5626883940257886,0.8940496549024914,0.09418966598116928
user_818642,30,0.4931766531142624,0.9356617471372171,-0.04898091432267279,0.5122001349373149,0.9124375626677659,0.07736024628501134
user_818642,60,0.4972462396353295,0.8974037814406057,-0.047624385482317094,0.5081305484162477,0.9506955283643772,0.07600371744465564
user_818642,90,0.4511555945093806,0.8744499550384737,-0.06298793385763338,0.5542211935421966,0.9736493547665093,0.09136726581997193
user_818642,120,0.3972802443073129,0.887903910067947,-0.08094638392498929,0.6080965437442644,0.9601953997370359,0.10932571588732784
user_818642,150,0.3851529375460003,0.9253961423210205,-0.0849888195120935,0.6202238505055769,0.9227031674839624,0.11336815147443205
user_818642,180,0.425923464133853,0.9524564663685061,-0.07139864398280925,0.5794533239177242,0.8956428434364768,0.0997779759451478
user_818642,210,0.4821075899489159,0.9442057450762237,-0.05267060204445495,0.5232691981026613,0.9038935647287593,0.0810499340067935
user_818642,240,0.5020498888231915,0.908229653550147,-0.046023169086363086,0.5033268992283857,0.939869656254836,0.07440250104870164
user_818642,270,0.46741550314029395,0.8776044444271044,-0.05756796431399559,0.5379612849112833,0.9704948653778785,0.08594729627633414
user_334835,0,0.4643039262591731,0.9293831826828157,-0.09438152724348103,0.5843039262591732,0.8693831826828157,0.06561847275651897
user_334835,30,0.5147921853476469,0.9109952749175413,-0.0775521075473231,0.5338156671706994,0.8877710904480901,0.048789053060361035
user_334835,60,0.5188617718687141,0.87273730922093,-0.0761955787069674,0.5297460806496322,0.9260290561447014,0.04743252422000534
user_334835,90,0.4727711267427651,0.8497834828187979,-0.09155912708228368,0.5758367257755811,0.9489828825468335,0.06279607259532162
user_334835,120,0.41889577654069743,0.8632374378482712,-0.1095175771496396,0.6297120759776489,0.9355289275173602,0.08075452266267753
user_334835,150,0.4067684697793848,0.9007296701013447,-0.1135600127367438,0.6418393827389615,0.8980366952642866,0.08479695824978174
user_334835,180,0.44753899636723754,0.9277899941488303,-0.09996983720745956,0.6010688561511087,0.870976371216801,0.07120678272049749
user_334835,210,0.5037231221823004,0.9195392728565479,-0.08124179526910526,0.5448847303360458,0.8792270925090835,0.05247874078214319
user_334835,240,0.523665421056576,0.8835631813304712,-0.07459436231101339,0.5249424314617702,0.9152031840351602,0.04583130782405133
user_334835,270,0.4890310353736785,0.8529379722074286,-0.0861391575386459,0.5595768171446678,0.9458283931582028,0.057376103051683836
user_584013,0,0.41532229012927346,0.9458590429648278,-0.09013538712665879,0.5353222901292736,0.8858590429648278,0.06986461287334121
user_584013,30,0.4658105492177473,0.9274711351995534,-0.07330596743050086,0.48483403104079975,0.9042469507301022,0.053035193177183276
user_584013,60,0.4698801357388144,0.889213169502942,-0.07194943859014516,0.4807644445197326,0.9425049164267135,0.05167866433682758
user_584013,90,0.42378949061286547,0.86625934310081,-0.08731298696546144,0.5268550896456815,0.9654587428288456,0.06704221271214386
user_584013,120,0.3699141404107978,0.8797132981302833,-0.10527143703281736,0.5807304398477493,0.9520047877993723,0.08500066277949977
user_584013,150,0.35778683364948516,0.9172055303833568,-0.10931387261992156,0.5928577466090619,0.9145125555462987,0.08904309836660398
user_584013,180,0.3985573602373379,0.9442658544308424,-0.09572369709063731,0.5520872200212091,0.8874522314988131,0.07545292283731973
user_584013,210,0.4547414860524008,0.93601513313856,-0.07699565515228302,0.49590309420614614,0.8957029527910956,0.056724880898965435
user_584013,240,0.47468378492667634,0.9000390416124833,-0.07034822219419115,0.4759607953318706,0.9316790443171723,0.05007744794087357
user_584013,270,0.44004939924377884,0.8694138324894407,-0.08189301742182366,0.5105951810147682,0.9623042534402149,0.06162224316850608
user_655953,0,0.4409482157104751,0.9483463142568149,-0.08120610208682927,0.5609482157104752,0.8883463142568149,0.07879389791317074
user_655953,30,0.4914364747989489,0.9299584064915405,-0.06437668239067135,0.5104599566220014,0.9067342220220893,0.06196447821701279
user_655953,60,0.495506061320016,0.8917004407949292,-0.06302015355031565,0.5063903701009342,0.9449921877187006,0.060607949376657096
user_655953,90,0.4494154161940671,0.8687466143927971,-0.07838370192563193,0.5524810152268831,0.9679460141208327,0.07597149775197337
user_655953,120,0.3955400659919994,0.8822005694222704,-0.09634215199298785,0.6063563654289509,0.9544920590913594,0.09392994781932928
