uid,frame,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z
user_627984,0,0.3577806856419109,0.3213645923258846,-0.13496636591705055,0.657780685641911,0.2813645923258847,0.16503363408294944
user_627984,30,0.39143952503422674,0.30757366150192883,-0.10972223637281367,0.6241218462495951,0.29515552314984045,0.13978950453871253
user_627984,60,0.3941525827149382,0.27888018722947033,-0.1076874431122801,0.6214087885688837,0.3238489974222989,0.13775471127817898
user_627984,90,0.3634254859643056,0.2616648174278713,-0.13073276567525455,0.6521358853195163,0.341064367223898,0.1608000338411534
user_627984,120,0.32750858582959375,0.27175528369997626,-0.1576704407762884,0.6880527854542281,0.330973900951793,0.18773770894218728
user_627984,150,0.3194237146553854,0.2998744578897814,-0.1637340941569447,0.6961376566284365,0.3028547267619879,0.1938013623228436
user_627984,180,0.34660406571395386,0.3201697009253956,-0.14334883086301833,0.668957305569868,0.2825594837263737,0.17341609902891722
user_627984,210,0.3840601495906625,0.31398165995618377,-0.1152567679554869,0.6315012216931594,0.2887475246955855,0.14532403612138578
user_627984,240,0.39735501550684615,0.2869995913116262,-0.10528561851834911,0.6182063557769757,0.31572959334014306,0.13535288668424797
user_627984,270,0.37426542505158117,0.2640306844693443,-0.12260281135979786,0.6412959462322407,0.338698500182425,0.15267007952569672
user_718093,0,0.3399181602175883,0.32658161904287764,-0.14730853490941342,0.6399181602175884,0.2865816190428777,0.15269146509058656
user_718093,30,0.37357699960990415,0.31279068821892186,-0.12206440536517651,0.6062593208252726,0.3003725498668335,0.12744733554634968
user_718093,60,0.3762900572906156,0.28409721394646337,-0.12002961210464295,0.6035462631445612,0.3290660241392919,0.1254125422858161
user_718093,90,0.345562960539983,0.2668818441448643,-0.1430749346676174,0.6342733598951937,0.346281393940891,0.14845786484879053
user_718093,120,0.30964606040527115,0.2769723104169693,-0.17001260976865123,0.6701902600299056,0.33619092766878605,0.17539553994982443
user_718093,150,0.3015611892310628,0.30509148460677443,-0.17607626314930758,0.678275131204114,0.3080717534789809,0.18145919333048072
user_718093,180,0.32874154028963126,0.32538672764238863,-0.1556909998553812,0.6510947801455454,0.2877765104433667,0.16107393003655435
user_718093,210,0.3661976241663399,0.3191986866731768,-0.12759893694784974,0.6136386962688368,0.29396455141257855,0.13298186712902293
user_718093,240,0.37949249008252356,0.29221661802861926,-0.11762778751071196,0.6003438303526532,0.3209466200571361,0.12301071769188512
user_718093,270,0.3564028996272586,0.26924771118633734,-0.13494498035216074,0.6234334208079182,0.343915526899418,0.14032791053333388
user_584217,0,0.33893344667438163,0.3320029592391006,-0.16971564193920424,0.6389334466743817,0.2920029592391007,0.13028435806079575
user_584217,30,0.3725922860666975,0.31821202841514484,-0.14447151239496736,0.6052746072820658,0.30579389006305646,0.10504022851655884
user_584217,60,0.3753053437474089,0.28951855414268635,-0.1424367191344338,0.6025615496013544,0.3344873643355149,0.10300543525602529
user_584217,90,0.3445782469967763,0.2723031843410873,-0.16548204169740824,0.633288646351987,0.351702734137114,0.12605075781899971
user_584217,120,0.3086613468620645,0.28239365061319227,-0.19241971679844208,0.6692055464866988,0.34161226786500903,0.15298843292003358
user_584217,150,0.3005764756878561,0.3105128248029974,-0.1984833701790984,0.6772904176609073,0.3134930936752039,0.1590520863006899
user_584217,180,0.3277568267464246,0.3308080678386116,-0.17809810688517203,0.6501100666023387,0.2931978506395897,0.13866682300676353
user_584217,210,0.3652129106231332,0.3246200268693998,-0.15000604397764059,0.6126539827256301,0.2993858916088015,0.11057476009923209
user_584217,240,0.3785077765393169,0.29763795822484224,-0.1400348945405028,0.5993591168094464,0.32636796025335907,0.10060361066209428
user_584217,270,0.3554181860840519,0.2746690513825603,-0.15735208738195156,0.6224487072647115,0.349336867095641,0.11792080350354303
user_261123,0,0.35118649453211026,0.3470528440155562,-0.14580402213994897,0.6511864945321103,0.30705284401555627,0.15419597786005101
user_261123,30,0.3848453339244261,0.3332619131916004,-0.12055989259571209,0.6175276551397945,0.32084377483951204,0.1289518483158141
user_261123,60,0.38755839160513755,0.3045684389191419,-0.11852509933517853,0.6148145974590831,0.3495372491119705,0.12691705505528056
user_261123,90,0.35683129485450493,0.2873530691175429,-0.141570421898153,0.6455416942097156,0.3667526189135696,0.14996237761825498
user_261123,120,0.3209143947197931,0.29744353538964785,-0.16850809699918684,0.6814585943444275,0.3566621526414646,0.17690005271928883
user_261123,150,0.31282952354558474,0.325562709579453,-0.17457175037984313,0.6895434655186359,0.3285429784516595,0.18296370609994517
user_261123,180,0.3400098746041532,0.3458579526150672,-0.15418648708591676,0.6623631144600673,0.3082477354160453,0.1625784428060188
user_261123,210,0.37746595848086184,0.33966991164585536,-0.12609442417838534,0.6249070305833587,0.3144357763852571,0.13448637989848733
user_261123,240,0.3907608243970455,0.3126878430012978,-0.11612327474124753,0.611612164667175,0.34141784502981465,0.12451523046134955
user_261123,270,0.36767123394178053,0.2897189361590159,-0.1334404675826963,0.6347017551224401,0.36438675187209657,0.14183242330279827
user_818642,0,0.35179226268385905,0.3440496549024914,-0.12871550102824608,0.651792262683859,0.3040496549024915,0.1712844989717539
user_818642,30,0.3854511020761749,0.3302587240785356,-0.10347137148400919,0.6181334232915432,0.31784058572644724,0.14604036942751702
user_818642,60,0.38816415975688634,0.30156524980607713,-0.10143657822347563,0.6154203656108318,0.3465340599989057,0.14400557616698345
user_818642,90,0.3574370630062537,0.2843498800044781,-0.12448190078645008,0.6461474623614644,0.3637494298005048,0.16705089872995788
user_818642,120,0.3215201628715419,0.29444034627658305,-0.15141957588748392,0.6820643624961762,0.3536589635283998,0.19398857383099175
user_818642,150,0.31343529169733353,0.3225595204663882,-0.15748322926814023,0.6901492336703846,0.3255397893385947,0.20005222721164806
user_818642,180,0.340615642755902,0.3428547635020024,-0.13709796597421386,0.6629688826118161,0.3052445463029805,0.1796669639177217
user_818642,210,0.3780717266326106,0.33666672253279056,-0.10900590306668242,0.6255127987351075,0.3114325872721923,0.15157490101019025
user_818642,240,0.3913665925487943,0.309684653888233,-0.09903475362954463,0.6122179328189238,0.33841465591674985,0.14160375157305244
user_818642,270,0.3682770020935293,0.2867157470459511,-0.1163519464709934,0.6353075232741888,0.3613835627590318,0.1589209444145012
user_334835,0,0.3662026175061154,0.31938318268281557,-0.17157229086522155,0.6662026175061154,0.27938318268281565,0.12842770913477844
user_334835,30,0.3998614568984312,0.3055922518588598,-0.14632816132098464,0.6325437781137996,0.2931741135067714,0.10318357959054156
user_334835,60,0.4025745145791427,0.2768987775864013,-0.1442933680604511,0.6298307204330882,0.32186758777922986,0.10114878633000798
user_334835,90,0.37184741782851005,0.25968340778480226,-0.16733869062342555,0.6605578171837208,0.33908295758082896,0.12419410889298241
user_334835,120,0.3359305176937982,0.2697738740569072,-0.1942763657244594,0.6964747173184326,0.328992491308724,0.15113178399401628
user_334835,150,0.32784564651958986,0.29789304824671237,-0.2003400191051157,0.704559588492641,0.30087331711891885,0.1571954373746726
user_334835,180,0.35502599757815834,0.31818829128232656,-0.17995475581118933,0.6773792374340725,0.28057807408330465,0.13681017408074622
user_334835,210,0.39248208145486696,0.31200025031311474,-0.1518626929036579,0.6399231535573638,0.2867661150525165,0.10871811117321478
user_334835,240,0.40577694737105063,0.2850181816685572,-0.14189154346652008,0.6266282876411802,0.313748183697074,0.098746961736077
user_334835,270,0.38268735691578565,0.26204927482627527,-0.15920873630796886,0.6497178780964452,0.33671709053935595,0.11606415457752572
user_584013,0,0.33354819341951564,0.3358590429648277,-0.16520308068998818,0.6335481934195156,0.2958590429648278,0.1347969193100118
user_584013,30,0.3672070328118315,0.32206811214087194,-0.1399589511457513,0.5998893540271998,0.30964997378878356,0.10955278976577491
user_584013,60,0.36992009049254293,0.29337463786841345,-0.13792415788521772,0.5971762963464884,0.33834344806124206,0.10751799650524135
user_584013,90,0.3391929937419103,0.27615926806681446,-0.16096948044819218,0.627903393097121,0.35555881786284116,0.13056331906821578
user_584013,120,0.3032760936071985,0.2862497343389194,-0.18790715554922602,0.6638202932318328,0.3454683515907362,0.15750099416924965
user_584013,150,0.2951912224329901,0.31436890852872457,-0.19397080892988233,0.6719051644060412,0.31734917740093105,0.16356464754990596
user_584013,180,0.3223715734915586,0.3346641515643387,-0.17358554563595596,0.6447248133474727,0.2970539343653168,0.1431793842559796
user_584013,210,0.3598276573682672,0.32847611059512694,-0.14549348272842452,0.607268729470764,0.3032419753345287,0.11508732134844815
user_584013,240,0.3731225232844509,0.3014940419505694,-0.13552233329128674,0.5939738635545804,0.3302240439790862,0.10511617191131035
user_584013,270,0.3500329328291859,0.27852513510828747,-0.1528395261327355,0.6170634540098454,0.35319295082136815,0.1224333647527591
user_655953,0,0.3506321438069834,0.33834631425681483,-0.1518091531302439,0.6506321438069834,0.2983463142568149,0.1481908468697561
user_655953,30,0.3842909831992992,0.32455538343285906,-0.12656502358600702,0.6169733044146676,0.3121372450807707,0.12294671732551918
user_655953,60,0.38700404088001067,0.29586190916040056,-0.12453023032547345,0.6142602467339562,0.3408307193532291,0.12091192406498563
user_655953,90,0.35627694412937805,0.2786465393588015,-0.1475755528884479,0.6449873434845887,0.3580460891548282,0.14395724662796006
user_655953,120,0.3203600439946662,0.2887370056309065,-0.17451322798948174,0.6809042436193006,0.34795562288272325,0.17089492172899393
user_655953,150,0.31227517282045786,0.3168561798207116,-0.18057688137013805,0.688989114793509,0.3198364486929181,0.17695857510965024
user_655953,180,0.33945552387902633,0.3371514228563258,-0.16019161807621168,0.6618087637349405,0.2995412056573039,0.15657331181572387
